seed,noise_rate,method,accuracy
0,0.0,Hinge,0.9532163742690059
0,0.0,LHS,0.9532163742690059
0,0.05,Hinge,0.9473684210526315
0,0.05,LHS,0.9707602339181286
0,0.1,Hinge,0.9707602339181286
0,0.1,LHS,0.9649122807017544
1,0.0,Hinge,0.9649122807017544
1,0.0,LHS,0.9590643274853801
1,0.05,Hinge,0.9415204678362573
1,0.05,LHS,0.9532163742690059
1,0.1,Hinge,0.935672514619883
1,0.1,LHS,0.9532163742690059
2,0.0,Hinge,0.9883040935672515
2,0.0,LHS,0.9766081871345029
2,0.05,Hinge,0.9707602339181286
2,0.05,LHS,0.9649122807017544
2,0.1,Hinge,0.935672514619883
2,0.1,LHS,0.9707602339181286
3,0.0,Hinge,0.9766081871345029
3,0.0,LHS,0.9824561403508771
3,0.05,Hinge,0.9649122807017544
3,0.05,LHS,0.9532163742690059
3,0.1,Hinge,0.9532163742690059
3,0.1,LHS,0.9649122807017544
4,0.0,Hinge,0.9590643274853801
4,0.0,LHS,0.9590643274853801
4,0.05,Hinge,0.9707602339181286
4,0.05,LHS,0.9590643274853801
4,0.1,Hinge,0.9649122807017544
4,0.1,LHS,0.9707602339181286
