noise_rate,method,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,clean_accuracy_mean,accuracy_drop
0.0,CE,0.9195,0.004280122012798717,0.9192249983426113,0.0042442858084211195,0.9195,0.0
0.0,LDR-KL,0.8647,0.003998958197664319,0.8644913370398143,0.004068336992163826,0.8647,0.0
0.0,OvR-Hinge,0.8793,0.005367598262827715,0.878960844454013,0.005487146934784962,0.8793,0.0
0.0,OvR-LHS,0.7946333333333333,0.007280491436404228,0.7894137340237395,0.00832287500405757,0.7946333333333333,0.0
0.05,CE,0.9046333333333333,0.0018611525700191623,0.9046464773259257,0.001888250349829315,0.9195,0.014866666666666695
0.05,LDR-KL,0.8517333333333333,0.003224472394396029,0.8515505621424921,0.0032722332636935,0.8647,0.012966666666666682
0.05,OvR-Hinge,0.8567,0.005726885909656535,0.8565337531076892,0.006194013987017077,0.8793,0.022599999999999953
0.05,OvR-LHS,0.7887666666666667,0.008303780932670238,0.7841762413002378,0.009379826549508844,0.7946333333333333,0.005866666666666576
0.1,CE,0.8956,0.0034066927591955595,0.8956891830598055,0.0034138263419433074,0.9195,0.023900000000000032
0.1,LDR-KL,0.8436666666666668,0.00394757309410902,0.843503044780646,0.004048584839633103,0.8647,0.021033333333333237
0.1,OvR-Hinge,0.8443333333333334,0.006328945848682478,0.8445691593420322,0.0062819960939835846,0.8793,0.03496666666666659
0.1,OvR-LHS,0.7840666666666667,0.009204165723555136,0.7801305660791232,0.00977462425460285,0.7946333333333333,0.010566666666666613
