seed,noise_rate,method,accuracy,macro_f1
0,0.0,CE,0.9228333333333333,0.9224383454970657
0,0.0,LDR-KL,0.865,0.8645701406437709
0,0.0,OvR-Hinge,0.8861666666666667,0.8859975560015623
0,0.0,OvR-LHS,0.7938333333333333,0.7891149568842019
0,0.05,CE,0.9073333333333333,0.9074032839505576
0,0.05,LDR-KL,0.853,0.8528880506522365
0,0.05,OvR-Hinge,0.8615,0.8616403235585667
0,0.05,OvR-LHS,0.7915,0.7874625234053334
0,0.1,CE,0.8971666666666667,0.8974373714527998
0,0.1,LDR-KL,0.8431666666666666,0.8431520776155008
0,0.1,OvR-Hinge,0.8431666666666666,0.843840745321396
0,0.1,OvR-LHS,0.7723333333333333,0.7677117990204398
1,0.0,CE,0.924,0.9238266559966923
1,0.0,LDR-KL,0.8708333333333333,0.8706358133708907
1,0.0,OvR-Hinge,0.8838333333333334,0.8834450318029524
1,0.0,OvR-LHS,0.8023333333333333,0.7979388573664158
1,0.05,CE,0.9051666666666667,0.9050687502990511
1,0.05,LDR-KL,0.8513333333333334,0.8512678762241487
1,0.05,OvR-Hinge,0.8595,0.8597506636800761
1,0.05,OvR-LHS,0.793,0.7896358586985748
1,0.1,CE,0.8991666666666667,0.8990839259554608
1,0.1,LDR-KL,0.8476666666666667,0.8475424906313604
1,0.1,OvR-Hinge,0.8553333333333333,0.8553269975439997
1,0.1,OvR-LHS,0.7831666666666667,0.7789335548161577
2,0.0,CE,0.9151666666666667,0.9148631213589915
2,0.0,LDR-KL,0.8605,0.8600769083659426
2,0.0,OvR-Hinge,0.8745,0.873475574798963
2,0.0,OvR-LHS,0.786,0.7798805764667485
2,0.05,CE,0.9025,0.902345651942785
2,0.05,LDR-KL,0.8473333333333334,0.8469453684294538
2,0.05,OvR-Hinge,0.852,0.8513610521055708
2,0.05,OvR-LHS,0.7768333333333334,0.7710825601765369
2,0.1,CE,0.8901666666666667,0.8901821209100599
2,0.1,LDR-KL,0.8375,0.8370189350751817
2,0.1,OvR-Hinge,0.8395,0.8391939302273463
2,0.1,OvR-LHS,0.7828333333333334,0.7797229269060664
3,0.0,CE,0.9206666666666666,0.9202883249554265
3,0.0,LDR-KL,0.8653333333333333,0.8655002216528793
3,0.0,OvR-Hinge,0.8748333333333334,0.8748229211347259
3,0.0,OvR-LHS,0.7893333333333333,0.78256450594371
3,0.05,CE,0.9048333333333334,0.9048414628381998
3,0.05,LDR-KL,0.8508333333333333,0.8507324193535138
3,0.05,OvR-Hinge,0.8613333333333333,0.8614897151262446
3,0.05,OvR-LHS,0.7843333333333333,0.778274817122489
3,0.1,CE,0.8966666666666666,0.896777441081258
3,0.1,LDR-KL,0.8435,0.8436414157680422
3,0.1,OvR-Hinge,0.8408333333333333,0.841275527784587
3,0.1,OvR-LHS,0.7838333333333334,0.779141643062598
4,0.0,CE,0.9148333333333334,0.9147085439048799
4,0.0,LDR-KL,0.8618333333333333,0.8616736011655883
4,0.0,OvR-Hinge,0.8771666666666667,0.8770631385318618
4,0.0,OvR-LHS,0.8016666666666666,0.797569773457621
4,0.05,CE,0.9033333333333333,0.9035732375990357
4,0.05,LDR-KL,0.8561666666666666,0.8559190960531075
4,0.05,OvR-Hinge,0.8491666666666666,0.8484270110679878
4,0.05,OvR-LHS,0.7981666666666667,0.794425447098255
4,0.1,CE,0.8948333333333334,0.894965055899449
4,0.1,LDR-KL,0.8465,0.8461603048131445
4,0.1,OvR-Hinge,0.8428333333333333,0.8432085958328327
4,0.1,OvR-LHS,0.7981666666666667,0.7951429065903545
