seed,method,eval_eps,accuracy
0,CE,0.0,0.8821666666666667
0,CE,0.05,0.7803333333333333
0,CE,0.1,0.6081666666666666
0,CE,0.2,0.2688333333333333
0,Adv-CE,0.0,0.884
0,Adv-CE,0.05,0.8021666666666667
0,Adv-CE,0.1,0.6748333333333333
0,Adv-CE,0.2,0.3611666666666667
0,SmoothAdv,0.0,0.8838333333333334
0,SmoothAdv,0.05,0.802
0,SmoothAdv,0.1,0.6745
0,SmoothAdv,0.2,0.36133333333333334
1,CE,0.0,0.8841666666666667
1,CE,0.05,0.7741666666666667
1,CE,0.1,0.606
1,CE,0.2,0.27116666666666667
1,Adv-CE,0.0,0.8841666666666667
1,Adv-CE,0.05,0.794
1,Adv-CE,0.1,0.6691666666666667
1,Adv-CE,0.2,0.35183333333333333
1,SmoothAdv,0.0,0.884
1,SmoothAdv,0.05,0.7941666666666667
1,SmoothAdv,0.1,0.6693333333333333
1,SmoothAdv,0.2,0.3516666666666667
2,CE,0.0,0.8811666666666667
2,CE,0.05,0.773
2,CE,0.1,0.6095
2,CE,0.2,0.2733333333333333
2,Adv-CE,0.0,0.8793333333333333
2,Adv-CE,0.05,0.7926666666666666
2,Adv-CE,0.1,0.6536666666666666
2,Adv-CE,0.2,0.3515
2,SmoothAdv,0.0,0.8793333333333333
2,SmoothAdv,0.05,0.7928333333333333
2,SmoothAdv,0.1,0.6543333333333333
2,SmoothAdv,0.2,0.352
