method,eval_eps,accuracy_mean,accuracy_std,clean_accuracy_mean,accuracy_drop
Adv-CE,0.0,0.8825,0.0027436796055257235,0.8825,0.0
Adv-CE,0.05,0.7962777777777778,0.005143316411004072,0.8825,0.0862222222222222
Adv-CE,0.1,0.6658888888888889,0.010957409128750033,0.8825,0.2166111111111111
Adv-CE,0.2,0.35483333333333333,0.00548735921105148,0.8825,0.5276666666666666
CE,0.0,0.8825,0.001527525231651936,0.8825,0.0
CE,0.05,0.7758333333333334,0.003940530139178959,0.8825,0.10666666666666658
CE,0.1,0.6078888888888888,0.001766457010620529,0.8825,0.27461111111111114
CE,0.2,0.2711111111111111,0.002250514344503207,0.8825,0.6113888888888889
SmoothAdv,0.0,0.8823888888888889,0.0026475005683208857,0.8823888888888889,0.0
SmoothAdv,0.05,0.7963333333333334,0.00495255265270125,0.8823888888888889,0.08605555555555544
SmoothAdv,0.1,0.6660555555555555,0.010475279541925488,0.8823888888888889,0.21633333333333338
SmoothAdv,0.2,0.355,0.00548735921105147,0.8823888888888889,0.5273888888888889
